trial_number,validation_loss,dict_size,learning_rate,sparse_lambda
2,0.0701613347638737,172,0.002656909587535483,0.009894496060194581
8,0.017289349978620357,86,0.008271523877358012,0.0011981001920460138
6,0.008449353125285018,86,0.0018547438263442752,0.002246916119869167
1,0.008619915253736756,172,0.0037231198180673083,0.0010573967533298203
9,0.03191902640868317,86,0.0005377071314720413,0.007428881056704837
5,0.0031423732511360537,172,0.0008306881440711613,0.0011300199019141813
0,0.011469334787265821,86,0.005691857262133316,0.0010830312977873622
4,0.01610449400137771,344,0.006387833110738225,0.00162211478376297
3,0.023098959231918507,344,0.00014969864938179378,0.0029010479518216227
7,0.037884721566330305,86,0.0036505040354807726,0.006170928599144791
10,0.011281381869180635,172,0.0002998214336414696,0.0034742940494625267
11,0.00406166258352724,344,0.00029627093676624634,0.0011391636152864814
12,0.01436590084975416,86,0.00014140056040687026,0.001641279741707718
13,0.011312793804840609,86,0.0016502559058851308,0.0044041975331844015
14,0.02172829911790111,86,0.006500897075358204,0.0031660038203186703
15,0.050389725376259194,344,0.0001427993121892635,0.004983110033044416
16,0.011685691367496144,172,0.0024433045454047946,0.003336200503629919
17,0.0086141115647148,86,0.0036869788219351563,0.0023829239451276995
18,0.047607163001190535,344,0.008697730037509913,0.005099943239748469
19,0.00935593961992047,172,0.000630526082281359,0.0047547129533515595
20,0.006489869139411233,172,0.0013023276713751797,0.00223860499595595
21,0.00557645686309446,344,0.0007866288805973208,0.0016853641247453067
22,0.005598064262250607,344,0.0010246331210768326,0.001656388266638712
23,0.005045696771280332,344,0.0006852622423357799,0.001616324557613883
24,0.005878212658519095,344,0.0007192834836988176,0.0018059945367449577
25,0.003963476305150173,344,0.0007522986188305832,0.0015598268446887617
26,0.0042790325062180105,344,0.000774502772848349,0.0014864685017101586
27,0.003737714649601416,344,0.000790566473846536,0.0014790739676878875
28,0.004670692552727731,172,0.0007654739748196358,0.00146043787237905
29,0.005480588032779368,344,0.0002766511663582466,0.0014838707057508087
30,0.004540132303637537,172,0.0010564087089606437,0.0016168613070802935
31,0.004713499364019795,344,0.0007346910590733123,0.0014543457685811242
32,0.0040231094653294846,344,0.0003964029072476479,0.0013165823756087042
33,0.004504800786856901,344,0.00033822425192795564,0.001347791400100436
34,0.0044710909228094595,344,0.00036343268839009575,0.0013772451955472872
35,0.005785880915143273,344,0.0003708577348507567,0.0013899171428676583
36,0.005464854607866569,344,0.00034793043740032786,0.0013226413117380933
37,0.0041921224064109,172,0.0004561702687600881,0.0013054497966373262
38,0.004371562655168501,344,0.0003715438531306015,0.0012558045056235093
40,0.0048420424742454836,344,0.0003869218523480222,0.0012148858302821102
41,0.003461472059346058,344,0.0004220930619039507,0.0012072459655410165
42,0.0031231363430957904,344,0.0004546591319499579,0.0010180670766183728
39,0.003107261217453263,172,0.0004684284970000196,0.0012667162686049664
43,0.0035402279304848475,344,0.000412760192060722,0.0010086420818897512
44,0.00570137080821124,172,0.00020953390081328275,0.0010024536459998907
45,0.0029351472727615724,172,0.00046263240444435516,0.0010622329216467942
46,0.0027515793303874406,172,0.00048323962055116525,0.0010786764690002674
47,0.005273699684237892,172,0.0002513278935614892,0.001030757200057313
48,0.00745863640172915,172,0.000192516120493892,0.001004020771147498
49,0.005113733212717555,172,0.00023632677139364506,0.0010074288657306032
